country	country_code	ETS information	main activity sector name	unit	value	year
Austria	AT	2.1 EU-ETS Verified Emission	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1198005	2007
Austria	AT	2.1 EU-ETS Verified Emission	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1237355	2008
Austria	AT	2.1 EU-ETS Verified Emission	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1145065	2010
Austria	AT	2.1 EU-ETS Verified Emission	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1179887	2017
Austria	AT	2.1 EU-ETS Verified Emission	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1258695	2021
Austria	AT	4.1 Surrendered EU allowances (EUAs and EUAAs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	1141720	2006
Austria	AT	4.2 Surrendered certified emission reductions (CERs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	40226	2009
Austria	AT	4.3 Surrendered emission reduction units (ERUs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	2008
Austria	AT	4.3 Surrendered emission reduction units (ERUs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	2010
Austria	AT	2.1 EU-ETS Verified Emission	27 Production of secondary aluminium	tonne of CO2 equ.	70395	2018
Austria	AT	2.1 EU-ETS Verified Emission	27 Production of secondary aluminium	tonne of CO2 equ.	69443	2022
Austria	AT	4.1 Surrendered EU allowances (EUAs and EUAAs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	2009
Austria	AT	4.3 Surrendered emission reduction units (ERUs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	2005
Austria	AT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	4220	2017
Austria	AT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2021
Austria	AT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2022
Austria	AT	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2017
Austria	AT	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2021
Austria	AT	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2022
Austria	AT	4. Total surrendered units	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	56542	2020
Austria	AT	4.1 Surrendered EU allowances (EUAs and EUAAs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2007
Austria	AT	4.1 Surrendered EU allowances (EUAs and EUAAs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2008
Austria	AT	4.1 Surrendered EU allowances (EUAs and EUAAs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2010
Austria	AT	4.2 Surrendered certified emission reductions (CERs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2005
